date,SACTMIN,SPOSTMIN,ride_name
1/1/2015,54.5,86.42962963,7_dwarfs_train
1/1/2016,20.33333333,69.14012739,7_dwarfs_train
1/1/2017,46.5,77.61538462,7_dwarfs_train
1/1/2018,34.5,37.1409396,7_dwarfs_train
1/1/2019,52,0.370629371,7_dwarfs_train
1/1/2020,56,103.1954887,7_dwarfs_train
1/1/2021,49.66666667,81.1440678,7_dwarfs_train
1/10/2015,31.8,66.69892473,7_dwarfs_train
1/10/2016,32.8,46.71276596,7_dwarfs_train
1/10/2017,80,80.11904762,7_dwarfs_train
1/10/2018,35,-34.49606299,7_dwarfs_train
1/10/2019,54.5,-35.56302521,7_dwarfs_train
1/10/2020,64,91.14285714,7_dwarfs_train
1/10/2021,35,51.38297872,7_dwarfs_train
1/11/2015,30.3,53.38378378,7_dwarfs_train
1/11/2016,,66.97674419,7_dwarfs_train
1/11/2017,57,80.51546392,7_dwarfs_train
1/11/2018,,74.82857143,7_dwarfs_train
1/11/2019,26.2,-26.38129496,7_dwarfs_train
1/11/2020,,99.80952381,7_dwarfs_train
1/11/2021,40.85714286,56.0326087,7_dwarfs_train
1/12/2015,45,44.4609375,7_dwarfs_train
1/12/2016,,65.21505376,7_dwarfs_train
1/12/2017,,71.64705882,7_dwarfs_train
1/12/2018,50,37.82191781,7_dwarfs_train
1/12/2019,,-107.0851064,7_dwarfs_train
1/12/2020,24,79.5212766,7_dwarfs_train
1/12/2021,41.6,49.94186047,7_dwarfs_train
1/13/2015,31.66666667,62.5,7_dwarfs_train
1/13/2016,45.33333333,26.91089109,7_dwarfs_train
1/13/2017,16.5,82.03703704,7_dwarfs_train
1/13/2018,22,96.34640523,7_dwarfs_train
1/13/2019,27.66666667,-80.02380952,7_dwarfs_train
1/13/2020,76.5,75.30973451,7_dwarfs_train
1/13/2021,25.66666667,42.52747253,7_dwarfs_train
1/14/2015,36,62.61589404,7_dwarfs_train
1/14/2016,55.5,64.55555556,7_dwarfs_train
1/14/2017,49,101.3274336,7_dwarfs_train
1/14/2018,38.75,77.03355705,7_dwarfs_train
1/14/2019,14,-78.848,7_dwarfs_train
1/14/2020,44,78.92857143,7_dwarfs_train
1/14/2021,29.66666667,-171.3684211,7_dwarfs_train
1/15/2015,36.66666667,49.79259259,7_dwarfs_train
1/15/2016,35.5,45.61983471,7_dwarfs_train
1/15/2017,57,110.9615385,7_dwarfs_train
1/15/2018,53,63.80314961,7_dwarfs_train
1/15/2019,,-31.51181102,7_dwarfs_train
1/15/2020,19,-43.7699115,7_dwarfs_train
1/15/2021,33,60.10869565,7_dwarfs_train
1/16/2015,73.5,106.6954023,7_dwarfs_train
1/16/2016,41,75.3125,7_dwarfs_train
1/16/2017,25,76.94339623,7_dwarfs_train
1/16/2018,,36.20338983,7_dwarfs_train
1/16/2019,29.5,-145.1954887,7_dwarfs_train
1/16/2020,46,-133.4038462,7_dwarfs_train
1/16/2021,36.5,73.44036697,7_dwarfs_train
1/17/2015,45.5,97.75757576,7_dwarfs_train
1/17/2016,,63.96226415,7_dwarfs_train
1/17/2017,39.75,85.91954023,7_dwarfs_train
1/17/2018,45.5,66.859375,7_dwarfs_train
1/17/2019,41,-99.90714286,7_dwarfs_train
1/17/2020,,0.748148148,7_dwarfs_train
1/17/2021,28,75.66666667,7_dwarfs_train
1/18/2015,45.4,83.80188679,7_dwarfs_train
1/18/2016,18.66666667,69.7107438,7_dwarfs_train
1/18/2017,,69.61165049,7_dwarfs_train
1/18/2018,29,-121.0196078,7_dwarfs_train
1/18/2019,48.5,-71.90441176,7_dwarfs_train
1/18/2020,,121.3445378,7_dwarfs_train
1/18/2021,51,59.43877551,7_dwarfs_train
1/19/2015,44.25,88.59195402,7_dwarfs_train
1/19/2016,39.5,3.710280374,7_dwarfs_train
1/19/2017,54,72.44047619,7_dwarfs_train
1/19/2018,14.33333333,83.84347826,7_dwarfs_train
1/19/2019,68.75,23.2,7_dwarfs_train
1/19/2020,30,115.3913043,7_dwarfs_train
1/19/2021,36,54.77777778,7_dwarfs_train
1/2/2015,65.75,107.3333333,7_dwarfs_train
1/2/2016,41,77.65060241,7_dwarfs_train
1/2/2017,20,7.793103448,7_dwarfs_train
1/2/2018,13,-11.47712418,7_dwarfs_train
1/2/2019,132,44.2,7_dwarfs_train
1/2/2020,39,140.2173913,7_dwarfs_train
1/2/2021,67.6,80.76923077,7_dwarfs_train
1/20/2015,8,85.24691358,7_dwarfs_train
1/20/2016,18,55.42857143,7_dwarfs_train
1/20/2017,27.66666667,57.51162791,7_dwarfs_train
1/20/2018,59,87.85333333,7_dwarfs_train
1/20/2019,85,54.51079137,7_dwarfs_train
1/20/2020,176,-42.49193548,7_dwarfs_train
1/20/2021,33.75,18.71590909,7_dwarfs_train
1/21/2015,45.66666667,66.24087591,7_dwarfs_train
1/21/2016,49,64.83333333,7_dwarfs_train
1/21/2017,4,102.625,7_dwarfs_train
1/21/2018,77,66.5078125,7_dwarfs_train
1/21/2019,115.5,12.0390625,7_dwarfs_train
1/21/2020,,103.9047619,7_dwarfs_train
1/21/2021,39.66666667,42.61111111,7_dwarfs_train
1/22/2015,31.5,70,7_dwarfs_train
1/22/2016,25,38.12844037,7_dwarfs_train
1/22/2017,43,-131.4090909,7_dwarfs_train
1/22/2018,14,77.88571429,7_dwarfs_train
1/22/2019,,10.65873016,7_dwarfs_train
1/22/2020,45.2,40.8411215,7_dwarfs_train
1/22/2021,32,41.86597938,7_dwarfs_train
1/23/2015,38.25,68.2,7_dwarfs_train
1/23/2016,22.33333333,64.35344828,7_dwarfs_train
1/23/2017,,74.34210526,7_dwarfs_train
1/23/2018,10,-87.92173913,7_dwarfs_train
1/23/2019,32.5,-22.18518519,7_dwarfs_train
1/23/2020,32,72.35897436,7_dwarfs_train
1/23/2021,37.8,15.62727273,7_dwarfs_train
1/24/2015,55.125,76.96428571,7_dwarfs_train
1/24/2016,28.5,69.44954128,7_dwarfs_train
1/24/2017,,70.52631579,7_dwarfs_train
1/24/2018,28.66666667,-9.12195122,7_dwarfs_train
1/24/2019,59,-106.4475524,7_dwarfs_train
1/24/2020,31,109.4387755,7_dwarfs_train
1/24/2021,30.5,46.19318182,7_dwarfs_train
1/25/2015,92,74.09638554,7_dwarfs_train
1/25/2016,15.5,65.76923077,7_dwarfs_train
1/25/2017,34.33333333,75.05263158,7_dwarfs_train
1/25/2018,,60.23300971,7_dwarfs_train
1/25/2019,34,-10.9924812,7_dwarfs_train
1/25/2020,,5.962264151,7_dwarfs_train
1/25/2021,47,50.05617978,7_dwarfs_train
1/26/2015,70,40.73333333,7_dwarfs_train
1/26/2016,30.66666667,65.47058824,7_dwarfs_train
1/26/2017,31,-5.307692308,7_dwarfs_train
1/26/2018,91,106.1965812,7_dwarfs_train
1/26/2019,,16.0141844,7_dwarfs_train
1/26/2020,123.5,-28.57,7_dwarfs_train
1/26/2021,37.33333333,48.35106383,7_dwarfs_train
1/27/2015,41.33333333,79.58169935,7_dwarfs_train
1/27/2016,19.33333333,36,7_dwarfs_train
1/27/2017,,76.9,7_dwarfs_train
1/27/2018,22.66666667,-65.38181818,7_dwarfs_train
1/27/2019,20.5,-189.7054264,7_dwarfs_train
1/27/2020,78,87.67241379,7_dwarfs_train
1/27/2021,39.75,42.69662921,7_dwarfs_train
1/28/2015,43.5,-23.875,7_dwarfs_train
1/28/2016,19,40.5952381,7_dwarfs_train
1/28/2017,,-331.6292135,7_dwarfs_train
1/28/2018,52.5,42.575,7_dwarfs_train
1/28/2019,88.5,-10.5034965,7_dwarfs_train
1/28/2020,,95.29126214,7_dwarfs_train
1/28/2021,28.2,46.11702128,7_dwarfs_train
1/29/2015,16.66666667,75.73529412,7_dwarfs_train
1/29/2016,45.55555556,65.3984375,7_dwarfs_train
1/29/2017,,49.01234568,7_dwarfs_train
1/29/2018,10,72.93636364,7_dwarfs_train
1/29/2019,33.6,-16.57251908,7_dwarfs_train
1/29/2020,35.75,37.6146789,7_dwarfs_train
1/29/2021,37.57142857,-140.6526316,7_dwarfs_train
1/3/2015,53,91.77205882,7_dwarfs_train
1/3/2016,,44.72727273,7_dwarfs_train
1/3/2017,77.5,114.4711538,7_dwarfs_train
1/3/2018,45.6,-55.71341463,7_dwarfs_train
1/3/2019,161,44.64137931,7_dwarfs_train
1/3/2020,,133.8709677,7_dwarfs_train
1/3/2021,24.25,74.25233645,7_dwarfs_train
1/30/2015,51,74.12234043,7_dwarfs_train
1/30/2016,20.75,66.82119205,7_dwarfs_train
1/30/2017,23,68.125,7_dwarfs_train
1/30/2018,,-60.21296296,7_dwarfs_train
1/30/2019,32,-115.6716418,7_dwarfs_train
1/30/2020,8,89.9,7_dwarfs_train
1/30/2021,43.125,64.27184466,7_dwarfs_train
1/31/2015,47,77.96808511,7_dwarfs_train
1/31/2016,29.33333333,37.87931034,7_dwarfs_train
1/31/2017,77,58.45454545,7_dwarfs_train
1/31/2018,52,72.88095238,7_dwarfs_train
1/31/2019,29,-15.06140351,7_dwarfs_train
1/31/2020,66.5,80.21186441,7_dwarfs_train
1/31/2021,32.55555556,50.40909091,7_dwarfs_train
1/4/2015,0,82.86956522,7_dwarfs_train
1/4/2016,40,50.04132231,7_dwarfs_train
1/4/2017,35,95.46017699,7_dwarfs_train
1/4/2018,,110.1258278,7_dwarfs_train
1/4/2019,57.33333333,-41.52439024,7_dwarfs_train
1/4/2020,27,100.0406504,7_dwarfs_train
1/4/2021,59.33333333,-48.51456311,7_dwarfs_train
1/5/2015,,87.60869565,7_dwarfs_train
1/5/2016,48.8,49.63,7_dwarfs_train
1/5/2017,55,111.3135593,7_dwarfs_train
1/5/2018,24.5,97.80379747,7_dwarfs_train
1/5/2019,122.75,57.73376623,7_dwarfs_train
1/5/2020,,126.7307692,7_dwarfs_train
1/5/2021,59,79.39252336,7_dwarfs_train
1/6/2015,22,79.61538462,7_dwarfs_train
1/6/2016,37,62.57142857,7_dwarfs_train
1/6/2017,33.4,93.66141732,7_dwarfs_train
1/6/2018,25.33333333,85.2761194,7_dwarfs_train
1/6/2019,26,-4.58041958,7_dwarfs_train
1/6/2020,109,63.525,7_dwarfs_train
1/6/2021,42.33333333,53.54716981,7_dwarfs_train
1/7/2015,15.5,78.62244898,7_dwarfs_train
1/7/2016,41.66666667,65.42857143,7_dwarfs_train
1/7/2017,40,-13.3963964,7_dwarfs_train
1/7/2018,41.5,73.05128205,7_dwarfs_train
1/7/2019,,-32.37588652,7_dwarfs_train
1/7/2020,,42.42857143,7_dwarfs_train
1/7/2021,37.09090909,64.10377358,7_dwarfs_train
1/8/2015,24,43.48598131,7_dwarfs_train
1/8/2016,25.33333333,44.24761905,7_dwarfs_train
1/8/2017,74,-273.3714286,7_dwarfs_train
1/8/2018,8,71.26363636,7_dwarfs_train
1/8/2019,43.5,-21.65625,7_dwarfs_train
1/8/2020,25.5,92.3245614,7_dwarfs_train
1/8/2021,44.85714286,63.96396396,7_dwarfs_train
1/9/2015,39,58.63970588,7_dwarfs_train
1/9/2016,42.25,-26.6,7_dwarfs_train
1/9/2017,,-168.043956,7_dwarfs_train
1/9/2018,47,-31.76068376,7_dwarfs_train
1/9/2019,48.5,-40.20138889,7_dwarfs_train
1/9/2020,,96.35869565,7_dwarfs_train
1/9/2021,38,71.99074074,7_dwarfs_train
10/1/2015,16.6,-48.29220779,7_dwarfs_train
10/1/2016,106,-169.1442308,7_dwarfs_train
10/1/2017,21,-23.63513514,7_dwarfs_train
10/1/2018,32,-24.57037037,7_dwarfs_train
10/1/2019,24,44.59183673,7_dwarfs_train
10/1/2021,23.66666667,-4.926035503,7_dwarfs_train
10/10/2015,,-38.51851852,7_dwarfs_train
10/10/2016,35.33333333,70.19230769,7_dwarfs_train
10/10/2017,54.5,42.35135135,7_dwarfs_train
10/10/2018,,-36.275,7_dwarfs_train
10/10/2019,54.57142857,62.11267606,7_dwarfs_train
10/10/2021,44.625,43.69565217,7_dwarfs_train
10/11/2015,61.5,32.78518519,7_dwarfs_train
10/11/2016,36,58.21367521,7_dwarfs_train
10/11/2017,50.5,36.60479042,7_dwarfs_train
10/11/2018,29.5,-137.6711409,7_dwarfs_train
10/11/2019,39.6,64.11347518,7_dwarfs_train
10/11/2021,52.18181818,69.85873606,7_dwarfs_train
10/12/2015,33.25,60.87591241,7_dwarfs_train
10/12/2016,66,130.3174603,7_dwarfs_train
10/12/2017,28,35.49333333,7_dwarfs_train
10/12/2018,29,-90.76506024,7_dwarfs_train
10/12/2019,,103.4962406,7_dwarfs_train
10/12/2021,46.2,-174.4113924,7_dwarfs_train
10/13/2015,45.25,-59.13445378,7_dwarfs_train
10/13/2016,22.5,60.04385965,7_dwarfs_train
10/13/2017,55.66666667,42.9689441,7_dwarfs_train
10/13/2018,17,-145.125,7_dwarfs_train
10/13/2019,61.5,96.34453782,7_dwarfs_train
10/13/2021,26.52941176,42.65614035,7_dwarfs_train
10/14/2015,30,62.28461538,7_dwarfs_train
10/14/2016,27,67.01492537,7_dwarfs_train
10/14/2017,141,80.05333333,7_dwarfs_train
10/14/2018,85,-265.2666667,7_dwarfs_train
10/14/2019,37.16666667,65.25,7_dwarfs_train
10/14/2021,41.25,44.48689139,7_dwarfs_train
10/15/2015,30.625,53.10483871,7_dwarfs_train
10/15/2016,61.5,10.64227642,7_dwarfs_train
10/15/2017,25.75,40.83116883,7_dwarfs_train
10/15/2018,49,6.992424242,7_dwarfs_train
10/15/2019,21.5,51.38297872,7_dwarfs_train
10/15/2021,29.5,-229.5884146,7_dwarfs_train
10/16/2015,46.42857143,55.75396825,7_dwarfs_train
10/16/2016,38.28571429,58.03846154,7_dwarfs_train
10/16/2017,,84.27027027,7_dwarfs_train
10/16/2018,23,-54.47272727,7_dwarfs_train
10/16/2019,31,103.768,7_dwarfs_train
10/16/2021,22.16666667,-169.5809859,7_dwarfs_train
10/17/2015,25.5,74.82394366,7_dwarfs_train
10/17/2016,,95.55555556,7_dwarfs_train
10/17/2017,,37.25657895,7_dwarfs_train
10/17/2018,62,-20.23178808,7_dwarfs_train
10/17/2019,45.5,10.79285714,7_dwarfs_train
10/17/2021,45,19.26086957,7_dwarfs_train
10/18/2015,34.5,52.06349206,7_dwarfs_train
10/18/2016,17.5,45.82051282,7_dwarfs_train
10/18/2017,79,61.63522013,7_dwarfs_train
10/18/2018,66,-120.8701299,7_dwarfs_train
10/18/2019,28.16666667,9.839160839,7_dwarfs_train
10/18/2021,33,70.11034483,7_dwarfs_train
10/19/2015,34.5,73.62204724,7_dwarfs_train
10/19/2016,40.25,78.40909091,7_dwarfs_train
10/19/2017,31,51.6119403,7_dwarfs_train
10/19/2018,51.33333333,1.253164557,7_dwarfs_train
10/19/2019,,-203.8473282,7_dwarfs_train
10/19/2021,39,39.98422713,7_dwarfs_train
10/2/2015,,-501.2352941,7_dwarfs_train
10/2/2016,46.66666667,-75.944,7_dwarfs_train
10/2/2017,,-73.3028169,7_dwarfs_train
10/2/2018,29.2,-41.62804878,7_dwarfs_train
10/2/2019,11.5,-25.57024793,7_dwarfs_train
10/2/2021,31.71428571,45.36129032,7_dwarfs_train
10/20/2015,23,48.046875,7_dwarfs_train
10/20/2016,31.625,58.00884956,7_dwarfs_train
10/20/2017,27.2,58,7_dwarfs_train
10/20/2018,61,-10.33571429,7_dwarfs_train
10/20/2019,43.6,54.07142857,7_dwarfs_train
10/20/2021,20.15384615,14.53184713,7_dwarfs_train
10/21/2015,30.5,-38.50735294,7_dwarfs_train
10/21/2016,42.4,62.65151515,7_dwarfs_train
10/21/2017,50.2,-14.13461538,7_dwarfs_train
10/21/2018,38,-87.41104294,7_dwarfs_train
10/21/2019,17.9,-5.557142857,7_dwarfs_train
10/21/2021,39.42857143,51.97358491,7_dwarfs_train
10/22/2015,41,2.902255639,7_dwarfs_train
10/22/2016,22.5,100.6854839,7_dwarfs_train
10/22/2017,41.14285714,-6.15625,7_dwarfs_train
10/22/2018,29,-156.5037594,7_dwarfs_train
10/22/2019,20.2,41.68181818,7_dwarfs_train
10/22/2021,46.5,-179.264214,7_dwarfs_train
10/23/2015,39,-14.93548387,7_dwarfs_train
10/23/2016,29.25,-51.43165468,7_dwarfs_train
10/23/2017,,45.52238806,7_dwarfs_train
10/23/2018,20.625,-48.17073171,7_dwarfs_train
10/23/2019,17.5,90.78740157,7_dwarfs_train
10/23/2021,53.33333333,56.96797153,7_dwarfs_train
10/24/2015,41.6,-52.41935484,7_dwarfs_train
10/24/2016,16.33333333,-9.184466019,7_dwarfs_train
10/24/2017,37,-101.8129032,7_dwarfs_train
10/24/2018,47.6,-21.35483871,7_dwarfs_train
10/24/2019,25.25,37.55862069,7_dwarfs_train
10/24/2021,29.66666667,-71.2555205,7_dwarfs_train
10/25/2015,26.6,50.46153846,7_dwarfs_train
10/25/2016,39.2,-42.09375,7_dwarfs_train
10/25/2017,30.5,51.85064935,7_dwarfs_train
10/25/2018,31.5,-48.83116883,7_dwarfs_train
10/25/2019,23.5,49.81884058,7_dwarfs_train
10/25/2021,58,-104.9328358,7_dwarfs_train
10/26/2015,26,67.96153846,7_dwarfs_train
10/26/2016,16,56.99137931,7_dwarfs_train
10/26/2017,20.33333333,-18.94968553,7_dwarfs_train
10/26/2018,30.8,-91.32317073,7_dwarfs_train
10/26/2019,80,78.55371901,7_dwarfs_train
10/26/2021,44.57142857,-5.945355191,7_dwarfs_train
10/27/2015,36.4,-47.78358209,7_dwarfs_train
10/27/2016,23.66666667,41.66101695,7_dwarfs_train
10/27/2017,30.66666667,33.18125,7_dwarfs_train
10/27/2018,40,-95.42857143,7_dwarfs_train
10/27/2019,28.5,4.167832168,7_dwarfs_train
10/27/2021,19,49.18092105,7_dwarfs_train
10/28/2015,34.625,50.78358209,7_dwarfs_train
10/28/2016,58.33333333,62.94117647,7_dwarfs_train
10/28/2017,54.25,65.47096774,7_dwarfs_train
10/28/2018,37,-13.44155844,7_dwarfs_train
10/28/2019,22,72.66949153,7_dwarfs_train
10/28/2021,28.66666667,-91.45925926,7_dwarfs_train
10/29/2015,31.75,45.71428571,7_dwarfs_train
10/29/2016,16,85.25423729,7_dwarfs_train
10/29/2017,43.16666667,48.23870968,7_dwarfs_train
10/29/2018,36.5,-39.39473684,7_dwarfs_train
10/29/2019,21,23.06164384,7_dwarfs_train
10/29/2021,35.44444444,35.2808642,7_dwarfs_train
10/3/2015,23.2,68.7012987,7_dwarfs_train
10/3/2016,37.5,87.37623762,7_dwarfs_train
10/3/2017,43,27.61538462,7_dwarfs_train
10/3/2018,,-117.5100671,7_dwarfs_train
10/3/2019,42,-216.2028986,7_dwarfs_train
10/3/2021,24.42857143,26.90032154,7_dwarfs_train
10/30/2015,35.33333333,67.27272727,7_dwarfs_train
10/30/2016,58,55.96296296,7_dwarfs_train
10/30/2017,18,0.821705426,7_dwarfs_train
10/30/2018,34.6,-149.9590643,7_dwarfs_train
10/30/2019,21.6,53.30578512,7_dwarfs_train
10/30/2021,34.16666667,21.00696864,7_dwarfs_train
10/31/2015,26,47.62096774,7_dwarfs_train
10/31/2016,26,52.59689922,7_dwarfs_train
10/31/2017,21.5,-29.1372549,7_dwarfs_train
10/31/2018,17.8,-55.08484848,7_dwarfs_train
10/31/2019,18.66666667,39.33098592,7_dwarfs_train
10/31/2020,30,44,7_dwarfs_train
10/31/2021,70,45.93478261,7_dwarfs_train
10/4/2015,28.5,45.55970149,7_dwarfs_train
10/4/2016,37.83333333,-116.2454545,7_dwarfs_train
10/4/2017,12,78.16883117,7_dwarfs_train
10/4/2018,22,-40.70860927,7_dwarfs_train
10/4/2019,35.625,49.08759124,7_dwarfs_train
10/4/2021,36.5,20.78896104,7_dwarfs_train
10/5/2015,19.33333333,-8.934306569,7_dwarfs_train
10/5/2016,55.5,78.10344828,7_dwarfs_train
10/5/2017,19.5,35.23125,7_dwarfs_train
10/5/2018,23.42857143,-18.37888199,7_dwarfs_train
10/5/2019,32,69.71900826,7_dwarfs_train
10/5/2021,31.875,27.90031153,7_dwarfs_train
10/6/2015,35.5,48.06451613,7_dwarfs_train
10/6/2016,31,54.1,7_dwarfs_train
10/6/2017,36.5,-4.846153846,7_dwarfs_train
10/6/2018,12,-87.07746479,7_dwarfs_train
10/6/2019,29.33333333,44.35616438,7_dwarfs_train
10/6/2021,20.4,-46.47039474,7_dwarfs_train
10/7/2015,23.5,64.29577465,7_dwarfs_train
10/7/2016,,30,7_dwarfs_train
10/7/2017,10,-198.7516779,7_dwarfs_train
10/7/2018,143,-43.83448276,7_dwarfs_train
10/7/2019,26.5,-36.04310345,7_dwarfs_train
10/7/2021,44.44444444,16.4082397,7_dwarfs_train
10/8/2015,39.33333333,46.26811594,7_dwarfs_train
10/8/2016,32,33.59166667,7_dwarfs_train
10/8/2017,15,16.66447368,7_dwarfs_train
10/8/2018,40,-23.59354839,7_dwarfs_train
10/8/2019,25.33333333,55.35714286,7_dwarfs_train
10/8/2021,39.83333333,-140.7476341,7_dwarfs_train
10/9/2015,36.5,-70.16546763,7_dwarfs_train
10/9/2016,20.5,95.13636364,7_dwarfs_train
10/9/2017,39.5,41.70469799,7_dwarfs_train
10/9/2018,46,-65.125,7_dwarfs_train
10/9/2019,66,95.27131783,7_dwarfs_train
10/9/2021,36.8,58.44329897,7_dwarfs_train
11/1/2015,16.5,49.53846154,7_dwarfs_train
11/1/2016,50.75,64.75490196,7_dwarfs_train
11/1/2017,9.333333333,21.30065359,7_dwarfs_train
11/1/2018,44,-41,7_dwarfs_train
11/1/2019,24.8,43.29710145,7_dwarfs_train
11/1/2020,31.66666667,46.83168317,7_dwarfs_train
11/1/2021,21,-46.84701493,7_dwarfs_train
11/10/2015,25.71428571,46.59090909,7_dwarfs_train
11/10/2016,17.66666667,-99.4140625,7_dwarfs_train
11/10/2017,32.57142857,20.19277108,7_dwarfs_train
11/10/2018,10,12.56603774,7_dwarfs_train
11/10/2019,115,78.7,7_dwarfs_train
11/10/2020,39.6,2.038834951,7_dwarfs_train
11/10/2021,32,-0.051779935,7_dwarfs_train
11/11/2015,23,55.77777778,7_dwarfs_train
11/11/2016,26,75.07751938,7_dwarfs_train
11/11/2017,27.66666667,84.98843931,7_dwarfs_train
11/11/2018,,6.160305344,7_dwarfs_train
11/11/2019,44.83333333,67.71653543,7_dwarfs_train
11/11/2020,35.2,53.02083333,7_dwarfs_train
11/11/2021,26,-34.4,7_dwarfs_train
11/12/2015,28.09090909,49.08396947,7_dwarfs_train
11/12/2016,53.5,106.9354839,7_dwarfs_train
11/12/2017,12.2,5.781456954,7_dwarfs_train
11/12/2018,28.33333333,-37.01315789,7_dwarfs_train
11/12/2019,38.33333333,-11.14049587,7_dwarfs_train
11/12/2020,36.16666667,37.83168317,7_dwarfs_train
11/12/2021,22,67.2027972,7_dwarfs_train
