date,ride_name,SACTMIN,SPOSTMIN
1/1/2015,7_dwarfs_train,54.5,86.42962962962963
1/1/2016,7_dwarfs_train,20.333333333333332,69.14012738853503
1/1/2017,7_dwarfs_train,46.5,77.61538461538461
1/1/2018,7_dwarfs_train,34.5,37.14093959731544
1/1/2019,7_dwarfs_train,52.0,0.3706293706293706
1/1/2020,7_dwarfs_train,56.0,103.19548872180451
1/1/2021,7_dwarfs_train,49.666666666666664,81.14406779661017
1/10/2015,7_dwarfs_train,31.8,66.6989247311828
1/10/2016,7_dwarfs_train,32.8,46.712765957446805
1/10/2017,7_dwarfs_train,80.0,80.11904761904762
1/10/2018,7_dwarfs_train,35.0,-34.496062992125985
1/10/2019,7_dwarfs_train,54.5,-35.563025210084035
1/10/2020,7_dwarfs_train,64.0,91.14285714285714
1/10/2021,7_dwarfs_train,35.0,51.38297872340426
1/11/2015,7_dwarfs_train,30.3,53.383783783783784
1/11/2016,7_dwarfs_train,,66.97674418604652
1/11/2017,7_dwarfs_train,57.0,80.51546391752578
1/11/2018,7_dwarfs_train,,74.82857142857142
1/11/2019,7_dwarfs_train,26.2,-26.381294964028775
1/11/2020,7_dwarfs_train,,99.80952380952381
1/11/2021,7_dwarfs_train,40.857142857142854,56.03260869565217
1/12/2015,7_dwarfs_train,45.0,44.4609375
1/12/2016,7_dwarfs_train,,65.21505376344086
1/12/2017,7_dwarfs_train,,71.6470588235294
1/12/2018,7_dwarfs_train,50.0,37.821917808219176
1/12/2019,7_dwarfs_train,,-107.08510638297872
1/12/2020,7_dwarfs_train,24.0,79.52127659574468
1/12/2021,7_dwarfs_train,41.6,49.94186046511628
1/13/2015,7_dwarfs_train,31.666666666666668,62.5
1/13/2016,7_dwarfs_train,45.333333333333336,26.91089108910891
1/13/2017,7_dwarfs_train,16.5,82.03703703703704
1/13/2018,7_dwarfs_train,22.0,96.34640522875817
1/13/2019,7_dwarfs_train,27.666666666666668,-80.02380952380952
1/13/2020,7_dwarfs_train,76.5,75.30973451327434
1/13/2021,7_dwarfs_train,25.666666666666668,42.527472527472526
1/14/2015,7_dwarfs_train,36.0,62.615894039735096
1/14/2016,7_dwarfs_train,55.5,64.55555555555556
1/14/2017,7_dwarfs_train,49.0,101.32743362831859
1/14/2018,7_dwarfs_train,38.75,77.03355704697987
1/14/2019,7_dwarfs_train,14.0,-78.848
1/14/2020,7_dwarfs_train,44.0,78.92857142857143
1/14/2021,7_dwarfs_train,29.666666666666668,-171.3684210526316
1/15/2015,7_dwarfs_train,36.666666666666664,49.79259259259259
1/15/2016,7_dwarfs_train,35.5,45.6198347107438
1/15/2017,7_dwarfs_train,57.0,110.96153846153847
1/15/2018,7_dwarfs_train,53.0,63.803149606299215
1/15/2019,7_dwarfs_train,,-31.511811023622048
1/15/2020,7_dwarfs_train,19.0,-43.769911504424776
1/15/2021,7_dwarfs_train,33.0,60.108695652173914
1/16/2015,7_dwarfs_train,73.5,106.69540229885058
1/16/2016,7_dwarfs_train,41.0,75.3125
1/16/2017,7_dwarfs_train,25.0,76.94339622641509
1/16/2018,7_dwarfs_train,,36.20338983050848
1/16/2019,7_dwarfs_train,29.5,-145.1954887218045
1/16/2020,7_dwarfs_train,46.0,-133.40384615384616
1/16/2021,7_dwarfs_train,36.5,73.44036697247707
1/17/2015,7_dwarfs_train,45.5,97.75757575757575
1/17/2016,7_dwarfs_train,,63.9622641509434
1/17/2017,7_dwarfs_train,39.75,85.91954022988506
1/17/2018,7_dwarfs_train,45.5,66.859375
1/17/2019,7_dwarfs_train,41.0,-99.90714285714286
1/17/2020,7_dwarfs_train,,0.7481481481481481
1/17/2021,7_dwarfs_train,28.0,75.66666666666667
1/18/2015,7_dwarfs_train,45.4,83.80188679245283
1/18/2016,7_dwarfs_train,18.666666666666668,69.7107438016529
1/18/2017,7_dwarfs_train,,69.6116504854369
1/18/2018,7_dwarfs_train,29.0,-121.01960784313725
1/18/2019,7_dwarfs_train,48.5,-71.90441176470588
1/18/2020,7_dwarfs_train,,121.34453781512605
1/18/2021,7_dwarfs_train,51.0,59.43877551020408
1/19/2015,7_dwarfs_train,44.25,88.5919540229885
1/19/2016,7_dwarfs_train,39.5,3.710280373831776
1/19/2017,7_dwarfs_train,54.0,72.44047619047619
1/19/2018,7_dwarfs_train,14.333333333333334,83.84347826086956
1/19/2019,7_dwarfs_train,68.75,23.2
1/19/2020,7_dwarfs_train,30.0,115.3913043478261
1/19/2021,7_dwarfs_train,36.0,54.77777777777778
1/2/2015,7_dwarfs_train,65.75,107.33333333333333
1/2/2016,7_dwarfs_train,41.0,77.65060240963855
1/2/2017,7_dwarfs_train,20.0,7.793103448275862
1/2/2018,7_dwarfs_train,13.0,-11.477124183006536
1/2/2019,7_dwarfs_train,132.0,44.2
1/2/2020,7_dwarfs_train,39.0,140.2173913043478
1/2/2021,7_dwarfs_train,67.6,80.76923076923077
1/20/2015,7_dwarfs_train,8.0,85.24691358024691
1/20/2016,7_dwarfs_train,18.0,55.42857142857143
1/20/2017,7_dwarfs_train,27.666666666666668,57.51162790697674
1/20/2018,7_dwarfs_train,59.0,87.85333333333334
1/20/2019,7_dwarfs_train,85.0,54.510791366906474
1/20/2020,7_dwarfs_train,176.0,-42.49193548387097
1/20/2021,7_dwarfs_train,33.75,18.71590909090909
1/21/2015,7_dwarfs_train,45.666666666666664,66.24087591240875
1/21/2016,7_dwarfs_train,49.0,64.83333333333333
1/21/2017,7_dwarfs_train,4.0,102.625
1/21/2018,7_dwarfs_train,77.0,66.5078125
1/21/2019,7_dwarfs_train,115.5,12.0390625
1/21/2020,7_dwarfs_train,,103.9047619047619
1/21/2021,7_dwarfs_train,39.666666666666664,42.611111111111114
1/22/2015,7_dwarfs_train,31.5,70.0
1/22/2016,7_dwarfs_train,25.0,38.12844036697248
1/22/2017,7_dwarfs_train,43.0,-131.4090909090909
1/22/2018,7_dwarfs_train,14.0,77.88571428571429
1/22/2019,7_dwarfs_train,,10.658730158730158
1/22/2020,7_dwarfs_train,45.2,40.8411214953271
1/22/2021,7_dwarfs_train,32.0,41.865979381443296
1/23/2015,7_dwarfs_train,38.25,68.2
1/23/2016,7_dwarfs_train,22.333333333333332,64.35344827586206
1/23/2017,7_dwarfs_train,,74.34210526315789
1/23/2018,7_dwarfs_train,10.0,-87.92173913043479
1/23/2019,7_dwarfs_train,32.5,-22.185185185185187
1/23/2020,7_dwarfs_train,32.0,72.35897435897436
1/23/2021,7_dwarfs_train,37.8,15.627272727272727
1/24/2015,7_dwarfs_train,55.125,76.96428571428571
1/24/2016,7_dwarfs_train,28.5,69.44954128440367
1/24/2017,7_dwarfs_train,,70.52631578947368
1/24/2018,7_dwarfs_train,28.666666666666668,-9.121951219512194
1/24/2019,7_dwarfs_train,59.0,-106.44755244755245
1/24/2020,7_dwarfs_train,31.0,109.43877551020408
1/24/2021,7_dwarfs_train,30.5,46.19318181818182
1/25/2015,7_dwarfs_train,92.0,74.09638554216868
1/25/2016,7_dwarfs_train,15.5,65.76923076923077
1/25/2017,7_dwarfs_train,34.333333333333336,75.05263157894737
1/25/2018,7_dwarfs_train,,60.23300970873787
1/25/2019,7_dwarfs_train,34.0,-10.992481203007518
1/25/2020,7_dwarfs_train,,5.962264150943396
1/25/2021,7_dwarfs_train,47.0,50.056179775280896
1/26/2015,7_dwarfs_train,70.0,40.733333333333334
1/26/2016,7_dwarfs_train,30.666666666666668,65.47058823529412
1/26/2017,7_dwarfs_train,31.0,-5.3076923076923075
1/26/2018,7_dwarfs_train,91.0,106.19658119658119
1/26/2019,7_dwarfs_train,,16.01418439716312
1/26/2020,7_dwarfs_train,123.5,-28.57
1/26/2021,7_dwarfs_train,37.333333333333336,48.351063829787236
1/27/2015,7_dwarfs_train,41.333333333333336,79.58169934640523
1/27/2016,7_dwarfs_train,19.333333333333332,36.0
1/27/2017,7_dwarfs_train,,76.9
1/27/2018,7_dwarfs_train,22.666666666666668,-65.38181818181818
1/27/2019,7_dwarfs_train,20.5,-189.70542635658916
1/27/2020,7_dwarfs_train,78.0,87.67241379310344
1/27/2021,7_dwarfs_train,39.75,42.69662921348315
1/28/2015,7_dwarfs_train,43.5,-23.875
1/28/2016,7_dwarfs_train,19.0,40.595238095238095
1/28/2017,7_dwarfs_train,,-331.6292134831461
1/28/2018,7_dwarfs_train,52.5,42.575
1/28/2019,7_dwarfs_train,88.5,-10.503496503496503
1/28/2020,7_dwarfs_train,,95.29126213592232
1/28/2021,7_dwarfs_train,28.2,46.11702127659574
1/29/2015,7_dwarfs_train,16.666666666666668,75.73529411764706
1/29/2016,7_dwarfs_train,45.55555555555556,65.3984375
1/29/2017,7_dwarfs_train,,49.01234567901235
1/29/2018,7_dwarfs_train,10.0,72.93636363636364
1/29/2019,7_dwarfs_train,33.6,-16.572519083969464
1/29/2020,7_dwarfs_train,35.75,37.61467889908257
1/29/2021,7_dwarfs_train,37.57142857142857,-140.65263157894736
1/3/2015,7_dwarfs_train,53.0,91.7720588235294
1/3/2016,7_dwarfs_train,,44.72727272727273
1/3/2017,7_dwarfs_train,77.5,114.47115384615384
1/3/2018,7_dwarfs_train,45.6,-55.71341463414634
1/3/2019,7_dwarfs_train,161.0,44.641379310344824
1/3/2020,7_dwarfs_train,,133.8709677419355
1/3/2021,7_dwarfs_train,24.25,74.25233644859813
1/30/2015,7_dwarfs_train,51.0,74.12234042553192
1/30/2016,7_dwarfs_train,20.75,66.82119205298014
1/30/2017,7_dwarfs_train,23.0,68.125
1/30/2018,7_dwarfs_train,,-60.21296296296296
1/30/2019,7_dwarfs_train,32.0,-115.67164179104478
