date,SACTMIN,SPOSTMIN,ride_name
1/1/2015,33,79.93506494,peter_pan_s_flight
1/2/2015,,80.60839161,peter_pan_s_flight
1/3/2015,45,71.11111111,peter_pan_s_flight
1/4/2015,20,58.93700787,peter_pan_s_flight
1/5/2015,4,66.05263158,peter_pan_s_flight
1/6/2015,12,57.62376238,peter_pan_s_flight
1/7/2015,27.33333333,53.04123711,peter_pan_s_flight
1/8/2015,,51.95121951,peter_pan_s_flight
1/9/2015,,47.01492537,peter_pan_s_flight
1/10/2015,6,43.99014778,peter_pan_s_flight
1/11/2015,7,36.18644068,peter_pan_s_flight
1/12/2015,,33.93333333,peter_pan_s_flight
1/13/2015,16,41.5862069,peter_pan_s_flight
1/14/2015,20.25,43.20895522,peter_pan_s_flight
1/15/2015,7.666666667,46.10759494,peter_pan_s_flight
1/16/2015,38.5,56.78378378,peter_pan_s_flight
1/17/2015,28.5,52.41262136,peter_pan_s_flight
1/18/2015,19.66666667,59.27860697,peter_pan_s_flight
1/19/2015,18,48.70481928,peter_pan_s_flight
1/20/2015,81,58.55828221,peter_pan_s_flight
1/21/2015,,43.86861314,peter_pan_s_flight
1/22/2015,19,48.58490566,peter_pan_s_flight
1/23/2015,,44.06896552,peter_pan_s_flight
1/24/2015,17.8,60.52910053,peter_pan_s_flight
1/25/2015,16.5,55.53459119,peter_pan_s_flight
1/26/2015,55,47.81481481,peter_pan_s_flight
1/27/2015,31,72.74509804,peter_pan_s_flight
1/28/2015,35.6,55.29411765,peter_pan_s_flight
1/29/2015,27.4,45.58695652,peter_pan_s_flight
1/30/2015,48,62.875,peter_pan_s_flight
1/31/2015,57,65.96059113,peter_pan_s_flight
2/1/2015,34.66666667,52.55905512,peter_pan_s_flight
2/2/2015,12,55,peter_pan_s_flight
2/3/2015,8,55.19607843,peter_pan_s_flight
2/4/2015,13.8,46.8627451,peter_pan_s_flight
2/5/2015,35,40.67857143,peter_pan_s_flight
2/6/2015,43,59.94680851,peter_pan_s_flight
2/7/2015,25,48.5,peter_pan_s_flight
2/8/2015,37,47.5,peter_pan_s_flight
2/9/2015,21,43.19875776,peter_pan_s_flight
2/10/2015,20,53.29281768,peter_pan_s_flight
2/11/2015,,50.21212121,peter_pan_s_flight
2/12/2015,23,53.52071006,peter_pan_s_flight
2/13/2015,15.33333333,59.89583333,peter_pan_s_flight
2/14/2015,21,79.92227979,peter_pan_s_flight
2/15/2015,46,71.61616162,peter_pan_s_flight
2/16/2015,15,63.62068966,peter_pan_s_flight
2/17/2015,43,55.2020202,peter_pan_s_flight
2/18/2015,72,75.20100503,peter_pan_s_flight
2/19/2015,,67.11111111,peter_pan_s_flight
2/20/2015,43.5,66.27717391,peter_pan_s_flight
2/21/2015,25.5,58.87323944,peter_pan_s_flight
2/22/2015,62,64.41520468,peter_pan_s_flight
2/23/2015,43.5,57.22222222,peter_pan_s_flight
2/24/2015,27,62.36263736,peter_pan_s_flight
2/25/2015,,56.79738562,peter_pan_s_flight
2/26/2015,19.4,51.2962963,peter_pan_s_flight
2/27/2015,,66.86528497,peter_pan_s_flight
2/28/2015,,55.7,peter_pan_s_flight
3/1/2015,40,52.12365591,peter_pan_s_flight
3/2/2015,,60.11494253,peter_pan_s_flight
3/3/2015,18,45.02994012,peter_pan_s_flight
3/4/2015,36.25,44.78125,peter_pan_s_flight
3/7/2015,20.5,49.97461929,peter_pan_s_flight
3/8/2015,7.5,53.046875,peter_pan_s_flight
3/9/2015,8,61.46596859,peter_pan_s_flight
3/10/2015,13,59.31693989,peter_pan_s_flight
3/11/2015,,60.92391304,peter_pan_s_flight
3/12/2015,14.33333333,59.25925926,peter_pan_s_flight
3/13/2015,52,56.72972973,peter_pan_s_flight
3/14/2015,44,58.28205128,peter_pan_s_flight
3/15/2015,18,44.98170732,peter_pan_s_flight
3/16/2015,,65.1025641,peter_pan_s_flight
3/17/2015,25.5,61.83673469,peter_pan_s_flight
3/18/2015,55,64,peter_pan_s_flight
3/19/2015,35.5,65.05434783,peter_pan_s_flight
3/20/2015,,60.52910053,peter_pan_s_flight
3/21/2015,11,62.6,peter_pan_s_flight
3/22/2015,24,59.89528796,peter_pan_s_flight
3/23/2015,13,57.41477273,peter_pan_s_flight
3/24/2015,53,71.60526316,peter_pan_s_flight
3/25/2015,,60.43103448,peter_pan_s_flight
3/26/2015,16,43.91463415,peter_pan_s_flight
3/27/2015,,58.33333333,peter_pan_s_flight
3/28/2015,30.33333333,63.88888889,peter_pan_s_flight
3/29/2015,28,-48.4,peter_pan_s_flight
3/30/2015,26.25,73.21428571,peter_pan_s_flight
3/31/2015,12,67.41666667,peter_pan_s_flight
4/1/2015,26.5,79,peter_pan_s_flight
4/2/2015,18.25,66.69291339,peter_pan_s_flight
4/3/2015,,66.25,peter_pan_s_flight
4/4/2015,30,55.45212766,peter_pan_s_flight
4/5/2015,27,59.57070707,peter_pan_s_flight
4/6/2015,,71.18131868,peter_pan_s_flight
4/7/2015,28,83.69791667,peter_pan_s_flight
4/8/2015,38.75,75.44117647,peter_pan_s_flight
4/9/2015,91,69.23295455,peter_pan_s_flight
4/10/2015,28.5,64.97487437,peter_pan_s_flight
4/11/2015,,28.77325581,peter_pan_s_flight
4/12/2015,,50.02906977,peter_pan_s_flight
4/13/2015,2,54.87951807,peter_pan_s_flight
4/14/2015,,54.50292398,peter_pan_s_flight
4/15/2015,51.5,51.78343949,peter_pan_s_flight
4/16/2015,20,48.11797753,peter_pan_s_flight
4/17/2015,46,55,peter_pan_s_flight
4/18/2015,16.33333333,43.77586207,peter_pan_s_flight
4/19/2015,20,49.56521739,peter_pan_s_flight
4/20/2015,10,51.20588235,peter_pan_s_flight
4/21/2015,13,50.54878049,peter_pan_s_flight
4/22/2015,11,47.01342282,peter_pan_s_flight
4/23/2015,30.5,38.24725275,peter_pan_s_flight
4/24/2015,31,54.60606061,peter_pan_s_flight
4/25/2015,,52.32142857,peter_pan_s_flight
4/26/2015,22,45.11764706,peter_pan_s_flight
4/27/2015,,52.59036145,peter_pan_s_flight
4/28/2015,38.66666667,39.29936306,peter_pan_s_flight
4/29/2015,35.66666667,34.88157895,peter_pan_s_flight
4/30/2015,15.5,52.16463415,peter_pan_s_flight
5/1/2015,15,1.850931677,peter_pan_s_flight
5/2/2015,12.5,51.44385027,peter_pan_s_flight
5/3/2015,26.5,-42.81609195,peter_pan_s_flight
5/4/2015,,52.90697674,peter_pan_s_flight
5/5/2015,25.5,49.97252747,peter_pan_s_flight
5/6/2015,27,32.23030303,peter_pan_s_flight
5/7/2015,34.33333333,47.81767956,peter_pan_s_flight
5/8/2015,27.5,51.19318182,peter_pan_s_flight
5/9/2015,14.5,50.73369565,peter_pan_s_flight
5/10/2015,29.25,-30.74213836,peter_pan_s_flight
5/11/2015,,-18.05921053,peter_pan_s_flight
5/12/2015,4,32.21621622,peter_pan_s_flight
5/13/2015,14.5,45.59375,peter_pan_s_flight
5/14/2015,16,43.45402299,peter_pan_s_flight
5/15/2015,,49.66257669,peter_pan_s_flight
5/16/2015,17,-81.71428571,peter_pan_s_flight
5/17/2015,28.5,38.66860465,peter_pan_s_flight
5/18/2015,,53.77300613,peter_pan_s_flight
5/19/2015,27,53.50877193,peter_pan_s_flight
5/20/2015,14.33333333,22.74496644,peter_pan_s_flight
5/21/2015,16,45.33333333,peter_pan_s_flight
5/22/2015,29.5,55.02870813,peter_pan_s_flight
5/23/2015,57.33333333,56.99421965,peter_pan_s_flight
5/24/2015,15.25,52.35365854,peter_pan_s_flight
5/25/2015,28.33333333,52.42690058,peter_pan_s_flight
5/26/2015,16,52.87195122,peter_pan_s_flight
5/27/2015,39.5,31.74576271,peter_pan_s_flight
5/28/2015,12.33333333,53.25714286,peter_pan_s_flight
5/29/2015,22.5,22.5,peter_pan_s_flight
5/30/2015,22.71428571,50.05820106,peter_pan_s_flight
5/31/2015,7,36.95652174,peter_pan_s_flight
6/1/2015,,55.91935484,peter_pan_s_flight
6/2/2015,12,52.27011494,peter_pan_s_flight
6/3/2015,6.5,-20.01156069,peter_pan_s_flight
6/4/2015,32,35.69072165,peter_pan_s_flight
6/5/2015,16,-9.91160221,peter_pan_s_flight
6/6/2015,27.33333333,57.04787234,peter_pan_s_flight
6/7/2015,,52.81420765,peter_pan_s_flight
6/8/2015,43.5,47.27835052,peter_pan_s_flight
6/9/2015,93,64.63636364,peter_pan_s_flight
6/10/2015,38.5,35.69518717,peter_pan_s_flight
6/11/2015,26.66666667,58.55670103,peter_pan_s_flight
6/12/2015,51.33333333,55.25988701,peter_pan_s_flight
6/13/2015,15,43.68361582,peter_pan_s_flight
6/14/2015,30.4,49.3989071,peter_pan_s_flight
6/15/2015,22.5,53.80327869,peter_pan_s_flight
6/16/2015,25.5,36.13661202,peter_pan_s_flight
6/17/2015,,42.34615385,peter_pan_s_flight
6/18/2015,21,60.6424581,peter_pan_s_flight
6/19/2015,11.5,56.39053254,peter_pan_s_flight
6/20/2015,34.66666667,43.7752809,peter_pan_s_flight
6/21/2015,33,48.06818182,peter_pan_s_flight
6/22/2015,,59.19354839,peter_pan_s_flight
6/23/2015,35,4.10326087,peter_pan_s_flight
6/24/2015,46,46.76963351,peter_pan_s_flight
6/25/2015,19,6.712041885,peter_pan_s_flight
6/26/2015,15,55.25139665,peter_pan_s_flight
6/27/2015,16.66666667,55.34482759,peter_pan_s_flight
6/28/2015,32,49.61988304,peter_pan_s_flight
6/29/2015,18,57.39393939,peter_pan_s_flight
6/30/2015,,59.90853659,peter_pan_s_flight
7/1/2015,21,-21.26203209,peter_pan_s_flight
7/2/2015,,42.57407407,peter_pan_s_flight
7/3/2015,9.5,56.81818182,peter_pan_s_flight
7/4/2015,5,71.22905028,peter_pan_s_flight
7/5/2015,8,49.67836257,peter_pan_s_flight
7/6/2015,,38.21511628,peter_pan_s_flight
7/7/2015,,55.59659091,peter_pan_s_flight
7/8/2015,,33.56547619,peter_pan_s_flight
7/9/2015,10,55.89528796,peter_pan_s_flight
7/10/2015,,45.72727273,peter_pan_s_flight
7/11/2015,,57.84431138,peter_pan_s_flight
7/12/2015,,53.9375,peter_pan_s_flight
7/13/2015,14,57.69021739,peter_pan_s_flight
7/14/2015,33,62.97687861,peter_pan_s_flight
7/15/2015,26,46.9494382,peter_pan_s_flight
7/16/2015,,51.61666667,peter_pan_s_flight
7/17/2015,,45.44720497,peter_pan_s_flight
7/18/2015,27.5,56.28877005,peter_pan_s_flight
7/19/2015,36,53.55113636,peter_pan_s_flight
7/20/2015,,67.60752688,peter_pan_s_flight
7/21/2015,,69.58333333,peter_pan_s_flight
7/22/2015,31.5,53.30481283,peter_pan_s_flight
